transaction_id,txn_date,store_id,sku_id,quantity,unit_price,revenue
TXN0000059,2023-05-20,STR013,SKU0014,11.0,1.85,20.35
TXN0000060,2024-11-26,STR009,SKU0023,19.0,8.36,158.84
TXN0000061,2022-09-18,STR010,SKU0009,19.0,2.77,52.63
TXN0000062,2024-08-28,STR014,SKU0003,,14.17,170.04
TXN0000063,2023-05-24,STR010,SKU0003,7.0,4.87,34.09
TXN0000064,2024-10-19,STR019,SKU0014,10.0,7.44,74.4
TXN0000065,2024-07-20,STR010,SKU0028,17.0,11.31,192.27
TXN0000066,2024-07-01,STR020,SKU0004,18.0,8.35,150.3
TXN0000067,2022-08-15,STR017,SKU0014,1.0,6.59,6.59
TXN0000068,2024-05-16,STR018,SKU0022,9.0,10.0,90.0
TXN0000069,2023-02-07,STR015,SKU0007,10.0,4.17,41.7
TXN0000070,2024-09-24,STR012,SKU0022,17.0,8.13,138.21
TXN0000071,2024-12-21,STR011,SKU0010,13.0,14.5,188.5
TXN0000072,2023-11-02,STR011,SKU0025,19.0,12.09,229.71
TXN0000073,27/09/2024,STR004,SKU0018,7.0,6.02,42.14
TXN0000074,2023-08-08,STR004,SKU0017,14.0,13.82,193.48
TXN0000075,2022-02-07,STR001,SKU0006,,13.31,26.62
TXN0000076,2024-08-15,STR015,SKU0014,4.0,5.16,20.64
TXN0000077,2023-08-05,STR003,SKU0026,5.0,14.11,70.55
TXN0000078,2022-02-18,STR012,SKU0001,9.0,8.05,72.45
TXN0000079,2022-03-13,STR003,SKU0023,2.0,14.09,28.18
TXN0000080,2024-03-03,STR002,SKU0015,10.0,8.92,89.2
TXN0000081,2024-10-09,STR011,SKU0022,17.0,2.81,47.77
TXN0000082,2024-02-04,STR018,SKU0020,8.0,3.38,27.04
TXN0000083,2023-04-29,STR007,SKU0013,1.0,8.22,8.22
TXN0000084,2022-12-03,STR019,SKU0010,6.0,-1.84,11.04
TXN0000085,2023-04-04,STR001,SKU0019,2.0,11.87,23.74
TXN0000086,2022-12-20,STR010,SKU0005,13.0,5.65,73.45
TXN0000087,2022-10-27,STR003,SKU0018,16.0,1.92,30.72
TXN0000088,2022-05-21,STR006,SKU0003,6.0,10.26,61.56
TXN0000089,2023-09-16,STR001,SKU0020,6.0,9.68,58.08
TXN0000090,2022-08-28,STR001,SKU0019,7.0,3.21,22.47
TXN0000091,2022-06-08,STR014,SKU0003,10.0,3.95,39.5
TXN0000092,2022-10-30,STR013,SKU0023,14.0,11.54,161.56
TXN0000093,2024-05-25,STR004,SKU0013,6.0,3.54,21.24
TXN0000094,2023-09-20,STR018,SKU0024,8.0,1.59,12.72
TXN0000095,2023-06-23,STR014,SKU0002,25.0,15.0,375.0
TXN0000096,2023-10-11,STR007,SKU0006,15.0,5.42,81.3
TXN0000097,2023-09-13,STR008,SKU0015,18.0,13.53,243.54
TXN0000098,2023-06-30,STR006,SKU0006,,7.09,70.9
TXN0000099,2024-07-10,STR017,SKU0010,27.0,14.5,391.5
TXN0000100,2024-03-11,STR010,SKU0020,6.0,7.3,43.8
TXN0000101,2022-07-22,STR003,SKU0005,9.0,11.62,104.58
TXN0000102,2024-06-14,STR004,SKU0021,19.0,14.54,276.26
TXN0000103,2022-07-12,STR006,SKU0004,6.0,5.31,31.86
TXN0000104,2022-03-27,STR008,SKU0006,16.0,1.9,30.4
TXN0000105,2023-04-07,STR012,SKU0018,,-7.56,120.96
TXN0000106,2023-03-07,STR020,SKU0024,18.0,11.78,212.04
TXN0000107,2024-05-11,STR005,SKU0006,17.0,9.11,154.87
TXN0000108,2024-02-01,STR007,SKU0009,16.0,12.78,204.48
TXN0000109,2022-03-06,STR001,SKU0028,7.0,5.1,35.7
TXN0000110,2023-07-01,STR008,SKU0030,11.0,2.42,26.62
TXN0000111,2024-05-21,STR014,SKU0018,11.0,4.48,49.28
TXN0000112,2024-03-14,STR020,SKU0014,6.0,4.59,27.54
TXN0000113,2023-07-03,STR015,SKU0011,8.0,6.03,48.24
TXN0000114,2023-11-06,STR003,SKU0019,17.0,5.71,97.07
TXN0000115,2023-09-08,STR018,SKU0018,1.0,4.66,4.66
TXN0000116,2022-09-11,STR017,SKU0009,2.0,3.14,6.28
TXN0000117,2023-09-11,STR004,SKU0001,8.0,8.54,68.32
TXN0000118,2024-01-10,STR019,SKU0005,15.0,-11.1,166.5
TXN0000119,2022-03-03,STR014,SKU0029,18.0,13.76,247.68
TXN0000120,2024-02-02,STR016,SKU0013,13.0,5.22,67.86
TXN0000121,2022-10-01,STR010,SKU0015,17.0,10.42,177.14
TXN0000122,2022-01-09,STR004,SKU0015,3.0,8.62,25.86
TXN0000123,2024-04-07,STR016,SKU0024,,13.43,26.86
TXN0000124,2023-03-04,STR010,SKU0002,10.0,10.88,108.8
TXN0000125,2023-03-28,STR020,SKU0003,6.0,3.97,23.82
TXN0000126,2023-11-16,,SKU0009,,5.1,86.7
TXN0000127,2023-09-07,STR007,SKU0015,,9.93,19.86
TXN0000128,2023-11-12,STR015,SKU0021,10.0,11.64,116.4
TXN0000129,2024-11-01,STR012,SKU0015,6.0,2.56,15.36
TXN0000130,2023-12-15,STR009,SKU0014,12.0,10.23,122.76
TXN0000131,2022-02-20,STR014,SKU0029,6.0,3.8,22.8
TXN0000132,2022-09-01,STR015,SKU0005,18.0,14.23,256.14
TXN0000133,2023-05-08,STR012,SKU0018,2.0,14.51,29.02
TXN0000134,02/06/2023,STR006,SKU0017,2.0,13.1,26.2
TXN0000135,2023-01-31,STR013,SKU0015,18.0,13.12,236.16
TXN0000136,2022-07-22,STR011,SKU0025,11.0,14.48,159.28
TXN0000137,2022-04-27,STR016,SKU0009,16.0,5.36,85.76
TXN0000138,2022-06-08,STR013,SKU0029,9.0,8.56,77.04
TXN0000139,2024-11-08,STR010,SKU0010,18.0,3.31,59.58
TXN0000140,2023-03-10,STR001,SKU0017,10.0,7.66,76.6
TXN0000141,2024-11-19,STR003,SKU0016,15.0,2.91,43.65
TXN0000142,2023-01-03,STR007,SKU0026,28.0,10.84,303.52
TXN0000143,2022-12-08,STR012,SKU0014,15.0,2.52,37.8
TXN0000144,2023-06-21,STR016,SKU0009,5.0,13.1,65.5
TXN0000145,2024-11-03,STR020,SKU0001,15.0,13.0,195.0
TXN0000146,2023-09-10,STR012,SKU0011,8.0,14.54,116.32
TXN0000147,2022-02-08,STR015,SKU0025,13.0,1.87,24.31
TXN0000148,2022-10-25,STR013,SKU0001,13.0,12.55,163.15
TXN0000149,2024-12-11,STR009,SKU0027,6.0,5.45,32.7
TXN0000150,2022-06-19,STR012,SKU0017,6.0,4.14,24.84
TXN0000151,2024-07-05,STR008,SKU0005,6.0,11.63,69.78
TXN0000152,2024-10-14,STR009,SKU0010,2.0,3.12,6.24
TXN0000153,2022-08-23,STR018,SKU0017,10.0,13.32,133.2
TXN0000154,2023-09-05,STR012,SKU0010,4.0,13.32,53.28
TXN0000155,2023-10-20,STR002,SKU0004,14.0,9.01,126.14
TXN0000156,2024-05-20,STR011,SKU0020,5.0,7.21,36.05
TXN0000157,2024-05-24,STR019,SKU0021,,13.51,13.51
TXN0000158,2022-03-07,STR002,SKU0004,3.0,11.12,33.36
TXN0000159,2022-12-16,STR020,SKU0009,11.0,1.93,21.23
TXN0000160,2024-10-27,STR020,SKU0008,3.0,7.06,21.18
TXN0000161,2023-01-23,STR012,SKU0020,17.0,7.3,124.1
TXN0000162,2022-09-27,STR007,SKU0022,15.0,13.06,195.9
TXN0000163,2023-11-21,STR001,SKU0022,4.0,13.42,53.68
TXN0000164,2022-08-03,STR001,SKU0029,17.0,8.84,150.28
TXN0000165,2022-06-11,STR008,SKU0024,6.0,3.02,18.12
TXN0000166,2024-05-24,STR016,SKU0010,18.0,9.72,174.96
TXN0000167,2022-05-10,STR019,SKU0004,19.0,7.72,146.68
TXN0000168,2024-09-03,STR003,SKU0019,5.0,7.21,36.05
TXN0000169,2022-10-01,STR010,SKU0028,7.0,14.79,103.53
TXN0000170,2022-04-28,STR011,SKU0030,3.0,14.94,44.82
TXN0000171,2024-03-23,STR008,SKU0007,1.0,7.03,7.03
TXN0000172,2022-07-13,STR011,SKU0008,15.0,14.12,211.8
TXN0000173,2023-02-06,STR019,SKU0002,13.0,4.8,62.4
TXN0000174,2023-01-20,STR009,SKU0005,11.0,4.11,45.21
TXN0000175,2023-07-11,STR003,SKU0017,19.0,10.37,197.03
TXN0000176,2023-06-03,STR013,SKU0017,3.0,8.26,24.78
TXN0000177,2022-08-03,STR001,SKU0012,5.0,11.57,57.85
TXN0000178,2022-09-15,STR019,SKU0010,17.0,2.98,50.66
TXN0000179,2022-08-01,STR019,SKU0025,5.0,-8.01,40.05
TXN0000180,2022-03-02,STR002,SKU0014,7.0,10.7,74.9
TXN0000181,2023-12-14,STR011,SKU0025,13.0,8.26,107.38
TXN0000182,2023-05-31,STR016,SKU0029,5.0,5.37,26.85
TXN0000183,2022-04-29,STR010,SKU0010,11.0,8.26,90.86
TXN0000184,2022-12-30,STR010,SKU0007,16.0,9.4,150.4
TXN0000185,2024-01-02,STR020,SKU0029,24.0,8.93,214.32
TXN0000186,2022-11-09,STR005,SKU0020,9.0,9.14,82.26
TXN0000187,2023-03-16,STR011,SKU0009,19.0,7.48,142.12
TXN0000188,2024-03-26,STR003,SKU0019,,5.97,35.82
TXN0000189,2024-01-06,STR006,SKU0016,16.0,2.45,39.2
TXN0000190,2024-02-07,STR017,SKU0028,17.0,2.13,36.21
TXN0000191,2023-02-23,STR014,SKU0008,6.0,8.71,52.26
TXN0000192,2023-06-15,STR012,SKU0030,2.0,13.09,26.18
TXN0000193,2024-07-16,STR003,SKU0029,15.0,12.11,181.65
TXN0000194,2024-08-14,STR017,SKU0006,3.0,8.74,26.22
TXN0000195,02/03/2022,,SKU0005,12.0,10.13,121.56
TXN0000196,2024-07-07,STR011,SKU0016,10.0,14.68,146.8
TXN0000197,2024-09-06,STR005,SKU0002,,14.56,145.6
TXN0000198,2024-10-29,STR011,SKU0009,15.0,14.93,223.95
TXN0000199,2022-10-22,STR012,SKU0014,13.0,1.72,22.36
TXN0000200,2023-07-04,,SKU0030,12.0,10.09,121.08
TXN0000201,2022-02-16,STR011,SKU0030,9.0,11.56,104.04
TXN0000202,2022-05-01,STR008,SKU0005,14.0,2.89,40.46
TXN0000203,2023-09-09,STR014,SKU0027,13.0,6.4,83.2
TXN0000204,2022-08-14,STR011,SKU0003,,3.73,59.68
TXN0000205,2022-09-03,STR018,SKU0023,14.0,6.69,93.66
TXN0000206,2022-11-22,STR001,SKU0026,4.0,7.46,29.84
TXN0000207,2023-05-19,STR001,SKU0027,1.0,3.91,3.91
TXN0000208,2022-06-17,STR004,SKU0007,1.0,8.2,8.2
TXN0000209,2024-05-29,STR003,SKU0027,12.0,4.03,48.36
TXN0000210,2024-01-03,STR011,SKU0004,,13.95,209.25
TXN0000211,2024-05-17,STR004,SKU0016,3.0,3.79,11.37
TXN0000212,2024-10-11,STR001,SKU0015,2.0,8.42,16.84
TXN0000213,2023-10-21,STR006,SKU0010,7.0,6.15,43.05
TXN0000214,2023-02-01,STR011,SKU0001,15.0,7.21,108.15
TXN0000215,2024-12-07,STR014,SKU0024,13.0,6.76,87.88
TXN0000216,2023-09-13,STR009,SKU0011,13.0,14.71,191.23
TXN0000217,2023-05-24,STR020,SKU0020,19.0,10.46,198.74
TXN0000218,2023-04-01,STR004,SKU0013,10.0,2.16,21.6
TXN0000219,2022-02-13,STR011,SKU0012,7.0,12.77,89.39
TXN0000220,2024-11-13,STR005,SKU0027,1.0,8.86,8.86
TXN0000221,2024-06-17,STR016,SKU0003,24.0,-3.07,73.68
TXN0000222,2024-02-06,STR004,SKU0023,15.0,7.87,118.05
TXN0000223,2022-08-31,STR020,SKU0023,7.0,3.3,23.1
TXN0000224,2024-10-14,STR014,SKU0012,12.0,9.03,108.36
TXN0000225,2022-07-13,STR012,SKU0008,7.0,6.5,45.5
TXN0000226,2022-09-22,STR011,SKU0001,13.0,2.4,31.2
TXN0000227,2022-03-18,STR007,SKU0029,9.0,-10.32,92.88
TXN0000228,2022-11-12,STR001,SKU0029,6.0,4.65,27.9
TXN0000229,2022-12-26,STR019,SKU0008,2.0,11.85,23.7
TXN0000230,2024-05-21,STR016,SKU0001,1.0,13.7,13.7
TXN0000231,2022-12-24,STR003,SKU0004,,4.78,76.48
TXN0000232,13/11/2024,STR003,SKU0003,2.0,5.63,11.26
TXN0000233,2022-11-28,STR006,SKU0025,15.0,2.13,31.95
TXN0000234,2023-07-29,STR015,SKU0027,3.0,8.0,24.0
TXN0000235,2023-10-13,STR011,SKU0005,14.0,12.84,179.76
TXN0000236,2024-06-27,STR013,SKU0023,8.0,2.99,23.92
TXN0000237,2024-04-03,STR001,SKU0006,16.0,3.76,60.16
TXN0000238,2024-08-08,STR019,SKU0012,2.0,11.55,23.1
TXN0000239,2024-10-24,STR003,SKU0018,8.0,10.11,80.88
TXN0000240,2022-05-09,STR006,SKU0022,8.0,4.19,33.52
TXN0000241,2022-04-14,STR019,SKU0027,9.0,3.81,34.29
TXN0000242,2023-05-08,STR015,SKU0002,6.0,2.45,14.7
TXN0000243,2022-06-14,STR011,SKU0006,7.0,1.74,12.18
TXN0000244,2023-06-25,STR017,SKU0009,19.0,7.2,136.8
TXN0000245,2023-10-09,STR002,SKU0010,14.0,2.96,41.44
TXN0000246,2022-10-30,STR002,SKU0030,9.0,5.44,48.96
TXN0000247,2022-04-18,STR003,SKU0024,16.0,13.3,212.8
TXN0000248,2024-11-23,STR005,SKU0010,2.0,2.17,4.34
TXN0000249,2023-02-11,STR014,SKU0030,11.0,12.26,134.86
TXN0000250,2024-07-08,STR011,SKU0015,13.0,6.65,86.45
TXN0000251,2023-11-16,STR009,SKU0016,,7.06,7.06
TXN0000252,2023-12-27,STR015,SKU0014,,14.63,204.82
TXN0000253,2024-05-05,STR006,SKU0005,14.0,9.17,128.38
TXN0000254,2022-10-18,STR002,SKU0029,11.0,1.99,21.89
TXN0000255,2022-08-27,STR008,SKU0001,19.0,12.22,232.18
TXN0000256,2024-12-28,STR015,SKU0006,18.0,8.99,161.82
TXN0000257,2024-01-03,STR010,SKU0007,,11.99,83.93
TXN0000258,2022-11-17,STR020,SKU0009,5.0,3.54,17.7
TXN0000259,2023-12-09,STR017,SKU0004,8.0,5.04,40.32
TXN0000260,2023-03-08,STR016,SKU0001,19.0,13.79,262.01
TXN0000261,2024-07-31,STR015,SKU0021,,7.3,73.0
TXN0000262,2023-07-12,STR012,SKU0030,18.0,8.39,151.02
TXN0000263,2022-12-10,STR018,SKU0004,16.0,10.18,162.88
TXN0000264,27/01/2024,STR012,SKU0009,3.0,8.63,25.89
TXN0000265,2024-04-02,STR008,SKU0016,13.0,11.63,151.19
TXN0000266,2023-02-13,STR004,SKU0028,17.0,4.51,76.67
TXN0000267,2024-04-04,STR016,SKU0021,,13.93,139.3
TXN0000268,2022-09-14,STR008,SKU0023,6.0,2.22,13.32
TXN0000269,2022-09-20,STR016,SKU0018,16.0,8.24,131.84
TXN0000270,2024-06-24,STR020,SKU0013,2.0,14.97,29.94
TXN0000271,2023-11-12,STR008,SKU0006,17.0,10.39,176.63
TXN0000272,2022-02-08,STR007,SKU0026,2.0,8.01,16.02
TXN0000273,2024-01-10,STR004,SKU0025,1.0,14.36,14.36
TXN0000274,2022-12-02,STR010,SKU0001,10.0,2.55,25.5
TXN0000275,2022-10-28,STR013,SKU0022,2.0,7.2,14.4
TXN0000276,2023-04-10,STR006,SKU0003,,13.7,191.8
TXN0000277,2023-05-11,STR010,SKU0023,10.0,10.68,106.8
TXN0000278,2024-09-04,STR011,SKU0025,15.0,6.47,97.05
TXN0000279,2023-04-23,STR005,SKU0004,15.0,14.7,220.5
TXN0000280,2022-11-22,STR001,SKU0014,15.0,11.75,176.25
TXN0000281,2024-04-27,STR004,SKU0004,3.0,14.69,44.07
TXN0000282,2023-08-18,STR016,SKU0018,17.0,9.38,159.46
TXN0000283,2022-01-01,STR005,SKU0028,25.0,1.61,40.25
TXN0000284,2023-11-24,STR001,SKU0003,10.0,14.62,146.2
TXN0000285,2023-07-04,STR009,SKU0012,3.0,12.62,37.86
TXN0000286,2023-09-22,,SKU0030,14.0,8.93,125.02
TXN0000287,2022-07-22,STR015,SKU0010,21.0,3.67,77.07
TXN0000288,2023-06-09,STR009,SKU0004,4.0,13.39,53.56
TXN0000289,2023-12-10,STR012,SKU0015,16.0,10.1,161.6
TXN0000290,2024-01-12,STR015,SKU0016,13.0,1.54,20.02
TXN0000291,2024-01-16,STR018,SKU0020,1.0,8.17,8.17
TXN0000292,2024-12-29,STR013,SKU0010,12.0,14.76,177.12
TXN0000293,2023-07-04,STR014,SKU0029,17.0,9.41,159.97
TXN0000294,2023-04-17,STR002,SKU0016,,11.09,210.71
TXN0000295,2023-08-18,STR009,SKU0009,16.0,10.38,166.08
TXN0000296,2022-12-27,STR018,SKU0029,25.0,8.5,212.5
TXN0000297,2022-12-12,STR003,SKU0028,4.0,10.84,43.36
TXN0000298,2024-01-27,STR006,SKU0015,1.0,4.14,4.14
TXN0000299,2022-12-10,STR014,SKU0001,4.0,6.06,24.24
TXN0000300,2024-03-31,STR018,SKU0018,17.0,13.51,229.67
TXN0000301,2024-03-27,STR002,SKU0017,17.0,5.14,87.38
TXN0000302,2024-11-10,STR018,SKU0005,2.0,7.13,14.26
TXN0000303,2022-05-25,STR004,SKU0020,19.0,2.9,55.1
TXN0000304,2023-02-03,STR017,SKU0026,5.0,14.06,70.3
TXN0000305,25/04/2024,STR018,SKU0004,10.0,5.14,51.4
TXN0000306,2023-04-16,STR015,SKU0022,12.0,9.34,112.08
TXN0000307,2023-12-19,STR019,SKU0005,3.0,6.88,20.64
TXN0000308,2024-03-16,STR020,SKU0023,8.0,6.18,49.44
TXN0000309,2024-08-27,STR019,SKU0013,6.0,3.77,22.62
TXN0000310,2022-09-05,STR011,SKU0001,7.0,14.95,104.65
TXN0000311,2022-10-13,STR010,SKU0029,7.0,5.4,37.8
TXN0000312,2023-06-01,STR002,SKU0005,13.0,6.85,89.05
TXN0000313,2023-07-09,STR004,SKU0018,12.0,4.1,49.2
TXN0000314,2024-09-18,STR013,SKU0006,3.0,9.97,29.91
TXN0000315,2022-02-12,STR003,SKU0028,14.0,2.66,37.24
TXN0000316,2022-09-26,STR019,SKU0023,3.0,10.45,31.35
TXN0000317,2024-09-27,STR005,SKU0025,12.0,8.29,99.48
TXN0000318,2023-11-05,STR002,SKU0013,4.0,10.24,40.96
TXN0000319,2024-01-11,STR005,SKU0015,17.0,1.56,26.52
TXN0000320,2022-10-01,STR001,SKU0020,7.0,10.59,74.13
TXN0000321,2023-11-14,STR003,SKU0024,1.0,2.12,2.12
TXN0000322,2023-02-10,STR012,SKU0026,2.0,13.89,27.78
TXN0000323,2024-03-14,STR006,SKU0001,8.0,12.21,97.68
TXN0000324,2022-04-10,STR016,SKU0020,19.0,3.17,60.23
TXN0000325,2022-11-08,STR008,SKU0004,6.0,9.01,54.06
TXN0000326,2023-12-08,STR014,SKU0009,10.0,14.42,144.2
TXN0000327,2023-10-24,STR014,SKU0025,15.0,4.78,71.7
TXN0000328,2024-07-10,STR003,SKU0008,7.0,2.48,17.36
TXN0000329,2024-05-27,STR002,SKU0024,13.0,7.2,93.6
TXN0000330,2022-01-16,STR017,SKU0014,8.0,3.37,26.96
TXN0000331,2022-04-09,STR014,SKU0007,17.0,12.0,204.0
TXN0000332,2023-01-24,STR004,SKU0011,13.0,13.81,179.53
TXN0000333,2024-11-16,STR014,SKU0016,6.0,7.57,45.42
TXN0000334,2023-06-07,STR007,SKU0023,9.0,14.97,134.73
TXN0000335,2024-09-04,STR002,SKU0019,17.0,4.07,69.19
TXN0000336,2022-03-06,STR005,SKU0028,8.0,13.89,111.12
TXN0000337,2024-11-21,STR015,SKU0027,16.0,5.87,93.92
TXN0000338,2022-03-08,STR008,SKU0023,17.0,13.68,232.56
TXN0000339,2024-06-04,STR011,SKU0019,3.0,13.71,41.13
TXN0000340,2024-08-19,STR003,SKU0009,16.0,6.21,99.36
TXN0000341,2022-11-19,STR002,SKU0013,16.0,1.77,28.32
TXN0000342,2022-11-26,STR005,SKU0004,,5.59,61.49
TXN0000343,2023-09-30,STR010,SKU0012,5.0,7.39,36.95
TXN0000344,2024-03-02,STR017,SKU0028,3.0,14.78,44.34
TXN0000345,2022-05-12,STR015,SKU0013,15.0,10.81,162.15
TXN0000346,2022-09-17,STR003,SKU0004,8.0,10.07,80.56
TXN0000347,2024-04-06,STR002,SKU0020,,10.21,112.31
TXN0000348,2024-06-04,STR004,SKU0029,2.0,6.85,13.7
TXN0000349,2022-06-18,STR017,SKU0027,,10.81,108.1
TXN0000350,2024-09-02,STR011,SKU0009,,5.28,10.56
TXN0000351,2024-08-08,STR016,SKU0014,11.0,11.66,128.26
TXN0000352,2024-08-09,STR008,SKU0016,16.0,10.3,164.8
TXN0000353,2022-09-21,STR012,SKU0008,,11.58,220.02
TXN0000354,2024-01-04,STR012,SKU0009,17.0,3.54,60.18
TXN0000355,2022-06-25,STR013,SKU0008,18.0,8.96,161.28
TXN0000356,2022-08-04,STR010,SKU0030,15.0,4.09,61.35
TXN0000357,2022-03-19,STR005,SKU0023,1.0,5.71,5.71
TXN0000358,2023-06-25,STR009,SKU0026,13.0,12.19,158.47
TXN0000359,2024-02-19,STR020,SKU0025,19.0,7.13,135.47
TXN0000360,2022-08-06,STR005,SKU0029,3.0,2.17,6.51
TXN0000361,2022-07-24,STR014,SKU0004,9.0,13.54,121.86
TXN0000362,2022-10-31,STR019,SKU0027,19.0,2.95,56.05
TXN0000363,2022-08-05,STR012,SKU0002,13.0,8.21,106.73
TXN0000364,2024-07-01,STR010,SKU0015,14.0,7.92,110.88
TXN0000365,2022-07-05,STR003,SKU0018,16.0,6.89,110.24
TXN0000366,2022-11-02,STR015,SKU0011,19.0,1.57,29.83
TXN0000367,2022-12-02,STR018,SKU0005,2.0,4.93,9.86
TXN0000368,2022-08-11,STR020,SKU0006,10.0,3.6,36.0
TXN0000369,2024-10-28,STR004,SKU0025,5.0,3.71,18.55
TXN0000370,2022-08-18,STR019,SKU0010,24.0,3.21,77.04
TXN0000371,2023-06-18,STR008,SKU0010,25.0,12.62,315.5
TXN0000372,2023-09-13,STR013,SKU0028,17.0,2.86,48.62
TXN0000373,2022-10-13,STR004,SKU0005,3.0,6.0,18.0
TXN0000374,2023-06-01,STR005,SKU0028,13.0,9.33,121.29
TXN0000375,2022-07-06,STR013,SKU0028,10.0,2.05,20.5
TXN0000376,2023-06-14,STR010,SKU0018,14.0,8.59,120.26
TXN0000377,2022-01-21,STR020,SKU0005,4.0,7.76,31.04
TXN0000378,2023-04-27,STR005,SKU0005,3.0,13.08,39.24
TXN0000379,2023-02-05,STR018,SKU0009,7.0,3.07,21.49
TXN0000380,20/01/2023,STR010,SKU0018,7.0,2.29,16.03
TXN0000381,2022-05-01,STR003,SKU0005,16.0,3.49,55.84
TXN0000382,2024-12-30,STR005,SKU0014,4.0,7.93,31.72
TXN0000383,2022-01-30,STR015,SKU0004,19.0,2.92,55.48
TXN0000384,2022-06-10,STR017,SKU0017,1.0,9.81,9.81
TXN0000385,2022-04-23,STR001,SKU0001,11.0,12.21,134.31
TXN0000386,2024-12-07,STR008,SKU0022,16.0,9.0,144.0
TXN0000387,2022-12-16,STR010,SKU0002,7.0,6.34,44.38
TXN0000388,2023-04-18,STR013,SKU0006,3.0,7.53,22.59
TXN0000389,2024-04-02,STR013,SKU0006,2.0,4.77,9.54
